model,feature_set,sample_size,accuracy,roc_auc,f1,pr_auc,train_time_s,predict_time_s,note
Decision Tree,Raw 28D,500000,0.69931,0.7707021395991761,0.6992251932914563,0.7824614978195532,8.95,0.01,
k-NN,Raw 28D,500000,,,,,,,Skipped
Linear SVM,Raw 28D,500000,0.64064,0.6829363411469419,0.6352649127523379,0.6814449304138805,2.47,0.02,
RBF SVM,Raw 28D,500000,,,,,,,Skipped
Random Forest,Raw 28D,500000,0.73018,0.8105540018973819,0.7299499153745276,0.825817859167425,32.6,0.31,
XGBoost,Raw 28D,500000,0.73839,0.8192056978364038,0.7382076386927613,0.8336079416088437,3.81,0.04,
Decision Tree,Raw 28D + Cluster,500000,0.69926,0.7705977392278266,0.6991778384387018,0.7824236359670431,9.02,0.01,
k-NN,Raw 28D + Cluster,500000,,,,,,,Skipped
Linear SVM,Raw 28D + Cluster,500000,0.64275,0.686266504788725,0.63723169040149,0.6853563478479069,2.51,0.02,
RBF SVM,Raw 28D + Cluster,500000,,,,,,,Skipped
Random Forest,Raw 28D + Cluster,500000,0.73106,0.8104447434264508,0.7307973188328452,0.8256574670747462,27.11,0.29,
XGBoost,Raw 28D + Cluster,500000,0.73761,0.8192178232162399,0.7374646014292585,0.8337040193254888,3.42,0.04,
